1.000000	-68.751200	0.886842
3.000000	51.994908	0.883255
5.000000	36.528051	0.875582
7.000000	10.052293	0.854702
9.000000	1.394957	0.811093
11.000000	-1.102342	0.757189
13.000000	-1.918967	0.703585
15.000000	-2.204615	0.653603
17.000000	-2.325420	0.607870
19.000000	-2.440507	0.566416
21.000000	-2.625699	0.529138
23.000000	-2.910679	0.495865
25.000000	-3.299410	0.466380
27.000000	-3.783475	0.440421
29.000000	-4.350394	0.417703
31.000000	-4.988676	0.397929
33.000000	-5.689382	0.380804
35.000000	-6.447147	0.366066
37.000000	-7.258865	0.353457
39.000000	-8.124258	0.342748
41.000000	-9.044531	0.333731
43.000000	-10.019736	0.326233
45.000000	-11.051990	0.320091
47.000000	-12.141996	0.315164
49.000000	-13.288477	0.311329
51.000000	-14.487980	0.308475
53.000000	-15.734103	0.306501
55.000000	-17.017605	0.305314
57.000000	-18.326257	0.304826
59.000000	-19.646004	0.304955
61.000000	-20.962028	0.305624
63.000000	-22.260324	0.306762
65.000000	-23.529084	0.308303
67.000000	-24.758923	0.310192
69.000000	-25.944075	0.312376
71.000000	-27.082297	0.314809
73.000000	-28.172748	0.317459
75.000000	-29.217111	0.320292
77.000000	-30.218613	0.323281
79.000000	-31.180330	0.326407
81.000000	-32.106453	0.329650
83.000000	-33.001461	0.332994
85.000000	-33.868631	0.336426
87.000000	-34.711363	0.339936
89.000000	-35.533129	0.343512
91.000000	-36.336858	0.347145
93.000000	-37.125006	0.350829
95.000000	-37.899663	0.354555
97.000000	-38.662622	0.358319
99.000000	-39.415385	0.362113
101.000000	-40.159188	0.365934
103.000000	-40.895032	0.369776
105.000000	-41.623713	0.373635
107.000000	-42.345849	0.377507
109.000000	-43.061908	0.381389
111.000000	-43.772228	0.385277
113.000000	-44.477040	0.389168
115.000000	-45.176486	0.393059
117.000000	-45.870632	0.396947
119.000000	-46.559486	0.400831
121.000000	-47.243003	0.404707
123.000000	-47.921102	0.408574
125.000000	-48.593668	0.412430
127.000000	-49.260561	0.416273
129.000000	-49.921623	0.420100
131.000000	-50.576679	0.423912
133.000000	-51.225540	0.427706
135.000000	-51.868011	0.431480
137.000000	-52.503888	0.435235
139.000000	-53.132959	0.438968
141.000000	-53.755009	0.442679
143.000000	-54.369820	0.446367
145.000000	-54.977169	0.450030
147.000000	-55.576830	0.453669
149.000000	-56.168578	0.457283
151.000000	-56.752183	0.460871
153.000000	-57.327415	0.464432
155.000000	-57.894046	0.467966
157.000000	-58.451846	0.471473
159.000000	-59.000586	0.474952
161.000000	-59.540042	0.478403
163.000000	-60.069992	0.481826
165.000000	-60.590217	0.485221
167.000000	-61.100509	0.488586
169.000000	-61.600662	0.491923
171.000000	-62.090483	0.495231
173.000000	-62.569790	0.498509
175.000000	-63.038410	0.501759
177.000000	-63.496187	0.504979
179.000000	-63.942981	0.508171
181.000000	-64.378665	0.511333
183.000000	-64.803135	0.514465
185.000000	-65.216303	0.517569
187.000000	-65.618102	0.520644
189.000000	-66.008488	0.523690
191.000000	-66.387435	0.526706
193.000000	-66.754943	0.529694
195.000000	-67.111032	0.532654
197.000000	-67.455744	0.535585
199.000000	-67.789144	0.538487
201.000000	-68.111317	0.541361
203.000000	-68.422371	0.544207
205.000000	-68.722431	0.547025
207.000000	-69.011642	0.549816
209.000000	-69.290169	0.552578
211.000000	-69.558189	0.555314
213.000000	-69.815898	0.558022
215.000000	-70.063504	0.560702
217.000000	-70.301226	0.563357
219.000000	-70.529296	0.565984
221.000000	-70.747955	0.568585
223.000000	-70.957452	0.571159
225.000000	-71.158040	0.573708
227.000000	-71.349980	0.576230
229.000000	-71.533536	0.578727
231.000000	-71.708974	0.581199
233.000000	-71.876562	0.583645
235.000000	-72.036568	0.586066
237.000000	-72.189259	0.588462
239.000000	-72.334900	0.590834
241.000000	-72.473754	0.593181
243.000000	-72.606080	0.595504
245.000000	-72.732134	0.597803
247.000000	-72.852167	0.600078
249.000000	-72.966425	0.602330
251.000000	-73.075147	0.604558
253.000000	-73.178567	0.606763
255.000000	-73.276915	0.608946
257.000000	-73.370410	0.611105
259.000000	-73.459268	0.613242
261.000000	-73.543697	0.615357
263.000000	-73.623897	0.617450
265.000000	-73.700062	0.619520
267.000000	-73.772381	0.621570
269.000000	-73.841032	0.623597
271.000000	-73.906189	0.625604
273.000000	-73.968018	0.627589
275.000000	-74.026679	0.629554
277.000000	-74.082325	0.631497
279.000000	-74.135103	0.633421
281.000000	-74.185152	0.635324
283.000000	-74.232608	0.637207
285.000000	-74.277598	0.639071
287.000000	-74.320246	0.640914
289.000000	-74.360667	0.642739
291.000000	-74.398973	0.644543
293.000000	-74.435271	0.646329
295.000000	-74.469661	0.648096
297.000000	-74.502241	0.649845
299.000000	-74.533102	0.651575
301.000000	-74.562332	0.653286
303.000000	-74.590013	0.654980
305.000000	-74.616225	0.656655
307.000000	-74.641042	0.658313
309.000000	-74.664536	0.659953
311.000000	-74.686775	0.661576
313.000000	-74.707823	0.663181
315.000000	-74.727741	0.664770
317.000000	-74.746588	0.666341
319.000000	-74.764417	0.667896
321.000000	-74.781282	0.669435
323.000000	-74.797232	0.670957
325.000000	-74.812315	0.672463
327.000000	-74.826574	0.673953
329.000000	-74.840051	0.675427
331.000000	-74.852788	0.676885
333.000000	-74.864822	0.678328
335.000000	-74.876190	0.679755
337.000000	-74.886924	0.681167
339.000000	-74.897058	0.682565
341.000000	-74.906623	0.683947
343.000000	-74.915647	0.685315
345.000000	-74.924159	0.686668
347.000000	-74.932184	0.688006
349.000000	-74.939747	0.689331
